File,Status,Category,Time Taken,Error
downloads\Home Workouts\Abs\7 Min Abs Workout.mp4,FAILED,,12.7s,"Command '['py', '-m', 'edge_tts', '--voice', 'en-US-BrianNeural', '--rate', '+15%', '--text', ""Focus on your midsection. Contract those core muscles hard. Every rep brings you closer to your goals. Let's push through!"", '--write-media', 'completed_videos\\temp_audio.mp3']' returned non-zero exit status 1."
downloads\Home Workouts\Abs\ABS for Runners.mp4,SUCCESS,ABS,8.4s,
downloads\Home Workouts\Abs\Advanced Abs Training.mp4,SUCCESS,ABS,5.7s,
downloads\Home Workouts\Abs\Beginner ABS Routine.mp4,SUCCESS,ABS,8.5s,
downloads\Home Workouts\Abs\Cool Down for ABS.mp4,SUCCESS,ABS,8.8s,
downloads\Home Workouts\Abs\Core Stability Workout.mp4,SUCCESS,ABS,6.4s,
downloads\Home Workouts\Abs\Dance ABS Workout.mp4,SUCCESS,ABS,4.9s,
downloads\Home Workouts\Abs\Full Core Circuit.mp4,SUCCESS,ABS,5.6s,
downloads\Home Workouts\Abs\Isometric ABS.mp4,SUCCESS,ABS,2.5s,
downloads\Home Workouts\Abs\No Equipment ABS.mp4,SUCCESS,ABS,2.4s,
downloads\Home Workouts\Abs\Resistance Band ABS.mp4,SUCCESS,ABS,2.4s,
downloads\Home Workouts\Abs\Standing ABS Workout.mp4,SUCCESS,ABS,4.6s,
downloads\Home Workouts\Abs\Yoga for Core Strength.mp4,SUCCESS,ABS,2.5s,
downloads\Home Workouts\Arm\Arm Blaster Routine.mp4,SUCCESS,ARM,4.2s,
downloads\Home Workouts\Arm\Arm Supersets for Muscle Growth.mp4,SUCCESS,ARM,4.1s,
downloads\Home Workouts\Arm\Isolation Exercises for Arms.mp4,SUCCESS,ARM,5.7s,
downloads\Home Workouts\Arm\Massive Arms Dumbbell Workout.mp4,SUCCESS,ARM,5.9s,
downloads\Home Workouts\Back\10-Minute Back Workout.mp4,SUCCESS,BACK,4.9s,
downloads\Home Workouts\Back\Home Scapular Strength.mp4,SUCCESS,BACK,5.1s,
downloads\Home Workouts\Butt\10-Min Booty Activation Warm-Up.mp4,SUCCESS,ARM,2.6s,
downloads\Home Workouts\Butt\Booty Burner Bodyweight Glutes Challenge.mp4,SUCCESS,BUTT,5.3s,
downloads\Home Workouts\Butt\Glute Isolation Workout - No Equipment.mp4,SUCCESS,BUTT,4.9s,
downloads\Home Workouts\Butt\Glute Pump in 15 No Gear Needed.mp4,SUCCESS,BUTT,4.7s,
downloads\Home Workouts\Calve\At-Home Calf Burner - No Equipment.mp4,SUCCESS,GENERAL,4.4s,
downloads\Home Workouts\Calve\Calf Raises at Home - Sculpt and Strengthen.mp4,SUCCESS,GENERAL,4.8s,
downloads\Home Workouts\Calve\Home Calves Routine for Bigger Lower Legs.mp4,SUCCESS,GENERAL,4.8s,
downloads\Home Workouts\Calve\Standing Calf Raises Mastery.mp4,SUCCESS,GENERAL,4.0s,
downloads\Home Workouts\Legs\10-Minute Lean Legs Workout.mp4,SUCCESS,GENERAL,2.7s,
downloads\Home Workouts\Legs\20-Minute No-Equipment Leg Day.mp4,SUCCESS,GENERAL,4.1s,
downloads\Home Workouts\Legs\Glutes Hamstrings Activation.mp4,SUCCESS,GENERAL,2.6s,
downloads\Home Workouts\shoulders\MVI_0298.mp4,SUCCESS,SHOULDERS,6.2s,
downloads\Home Workouts\shoulders\MVI_0299.mp4,SUCCESS,SHOULDERS,7.6s,
